Age,BusinessTravel,Department,DistanceFromHome,Education,EducationField,Gender,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
41,Non-Travel,Research & Development,4.0,2,Life Sciences,Female,Research Scientist,Single,100264.0,7.0,17,8.0,1,16.0,2.0,14,1,10,0
31,Travel_Frequently,Sales,3.0,3,Marketing,Male,Sales Executive,Single,46210.0,2.0,18,8.0,1,9.0,3.0,5,1,4,0
24,Travel_Frequently,Research & Development,16.0,3,Life Sciences,Male,Research Scientist,Single,55646.0,1.0,22,8.0,1,6.0,6.0,6,1,3,0
33,Travel_Rarely,Research & Development,3.0,4,Life Sciences,Female,Sales Executive,Married,27660.0,1.0,12,8.0,1,2.0,2.0,2,0,2,0
40,Travel_Rarely,Sales,16.0,4,Marketing,Male,Research Director,Single,36330.0,3.0,16,8.0,2,10.0,0.0,4,0,3,1
37,Travel_Rarely,Sales,3.0,4,Technical Degree,Male,Manufacturing Director,Divorced,62620.0,0.0,11,8.0,0,6.0,1.0,5,4,3,0
42,Travel_Rarely,Research & Development,18.0,1,Technical Degree,Female,Research Scientist,Married,200727.0,2.0,23,8.0,1,17.0,6.0,5,1,3,0
40,Travel_Rarely,Research & Development,9.0,3,Technical Degree,Female,Healthcare Representative,Single,24040.0,6.0,17,8.0,0,18.0,2.0,4,3,3,0
34,Travel_Rarely,Sales,2.0,3,Marketing,Male,Sales Representative,Single,103120.0,1.0,12,8.0,0,6.0,2.0,6,1,3,0
36,Non-Travel,Research & Development,11.0,4,Technical Degree,Female,Research Scientist,Married,41520.0,9.0,19,8.0,1,10.0,3.0,8,0,5,0
29,Travel_Rarely,Research & Development,7.0,1,Life Sciences,Female,Research Scientist,Single,21800.0,1.0,21,8.0,0,4.0,2.0,4,0,1,1
32,Travel_Rarely,Research & Development,3.0,3,Life Sciences,Male,Research Scientist,Single,30380.0,1.0,11,8.0,0,10.0,5.0,10,0,8,0
28,Travel_Rarely,Research & Development,2.0,4,Life Sciences,Male,Research Director,Single,100960.0,5.0,13,8.0,0,6.0,2.0,4,0,3,1
47,Travel_Rarely,Research & Development,8.0,4,Medical,Female,Sales Representative,Married,23932.0,3.0,17,8.0,0,11.0,5.0,5,1,2,0
31,Travel_Rarely,Research & Development,17.0,4,Life Sciences,Male,Human Resources,Single,42440.0,9.0,13,8.0,0,8.0,3.0,3,0,2,0
32,Travel_Frequently,Sales,9.0,4,Life Sciences,Male,Sales Executive,Single,43270.0,8.0,13,8.0,0,4.0,4.0,0,0,0,0
20,Travel_Rarely,Research & Development,18.0,4,Medical,Male,Human Resources,Single,84120.0,1.0,13,8.0,0,2.0,2.0,2,2,2,0
32,Travel_Frequently,Research & Development,17.0,4,Other,Male,Sales Executive,Married,193280.0,1.0,15,8.0,3,5.0,2.0,5,0,3,0
39,Travel_Frequently,Research & Development,2.0,1,Medical,Male,Healthcare Representative,Divorced,51550.0,2.0,18,8.0,1,7.0,3.0,2,2,2,0
41,Travel_Rarely,Sales,21.0,4,Marketing,Male,Sales Executive,Married,102090.0,1.0,13,8.0,1,23.0,2.0,22,15,8,1
36,Travel_Rarely,Sales,3.0,2,Marketing,Male,Healthcare Representative,Divorced,178610.0,2.0,18,8.0,0,17.0,2.0,7,7,7,0
29,Travel_Rarely,Sales,4.0,3,Marketing,Male,Research Scientist,Single,37181.0,1.0,13,8.0,0,2.0,3.0,2,2,2,1
27,Travel_Frequently,Research & Development,7.0,3,Life Sciences,Male,Research Scientist,Single,28395.0,2.0,20,8.0,0,6.0,3.0,4,1,2,0
53,Travel_Rarely,Research & Development,7.0,1,Life Sciences,Male,Laboratory Technician,Married,28590.0,3.0,18,8.0,1,32.0,2.0,5,1,3,0
26,Travel_Rarely,Research & Development,4.0,2,Medical,Female,Healthcare Representative,Divorced,24360.0,1.0,24,8.0,0,3.0,2.0,3,0,2,0
38,Travel_Rarely,Research & Development,7.0,4,Medical,Male,Sales Executive,Single,66530.0,7.0,20,8.0,1,10.0,2.0,1,0,0,0
37,Travel_Rarely,Research & Development,1.0,3,Life Sciences,Male,Healthcare Representative,Married,53460.0,4.0,11,8.0,0,7.0,2.0,5,0,1,0
53,Travel_Rarely,Research & Development,20.0,3,Life Sciences,Male,Manager,Married,25590.0,0.0,25,8.0,0,34.0,2.0,33,1,9,1
44,Travel_Rarely,Research & Development,5.0,3,Life Sciences,Female,Laboratory Technician,Married,42620.0,7.0,18,8.0,0,26.0,2.0,22,3,10,0
31,Travel_Frequently,Research & Development,8.0,3,Medical,Male,Research Scientist,Single,36170.0,7.0,21,8.0,1,10.0,5.0,5,0,3,0
22,Travel_Rarely,Research & Development,8.0,3,Other,Male,Sales Representative,Married,49565.0,2.707511380880121,21,8.0,1,4.0,2.0,4,1,1,0
38,Travel_Rarely,Research & Development,29.0,3,Life Sciences,Female,Manufacturing Director,Single,37220.0,5.0,14,8.0,0,6.0,0.0,3,1,2,0
36,Non-Travel,Sales,2.0,1,Medical,Female,Human Resources,Divorced,132716.0,1.0,14,8.0,0,15.0,3.0,15,11,11,0
28,Travel_Rarely,Sales,2.0,2,Technical Degree,Female,Sales Executive,Married,22310.0,1.0,12,8.0,0,8.0,3.0,8,7,5,0
50,Travel_Rarely,Research & Development,1.0,3,Technical Degree,Female,Sales Executive,Married,135011.0,3.0,18,8.0,1,22.0,3.0,12,1,5,0
26,Travel_Rarely,Research & Development,4.0,2,Medical,Female,Healthcare Representative,Divorced,24360.0,1.0,24,8.0,0,3.0,2.0,3,0,2,0
36,Non-Travel,Human Resources,29.0,3,Human Resources,Male,Laboratory Technician,Single,24320.0,4.0,22,8.0,0,7.0,4.0,1,0,0,0
34,Travel_Rarely,Research & Development,18.0,1,Medical,Male,Healthcare Representative,Single,27030.0,1.0,21,8.0,1,9.0,2.0,8,7,7,0
58,Travel_Frequently,Sales,10.0,2,Technical Degree,Male,Sales Executive,Divorced,21530.0,9.0,11,8.0,0,3.0,3.0,1,0,0,1
49,Travel_Frequently,Sales,11.0,4,Life Sciences,Male,Research Scientist,Married,35060.0,3.0,11,8.0,1,28.0,4.0,5,4,3,0
41,Non-Travel,Research & Development,24.0,3,Life Sciences,Male,Manufacturing Director,Single,26700.0,2.0,15,8.0,2,10.0,2.0,8,0,7,0
31,Travel_Rarely,Research & Development,6.0,3,Medical,Female,Manager,Single,81202.0,1.0,15,8.0,1,11.0,5.0,11,4,10,0
34,Travel_Rarely,Sales,24.0,3,Marketing,Male,Research Scientist,Single,27420.0,0.0,11,8.0,1,13.0,2.0,12,2,11,0
34,Non-Travel,Research & Development,7.0,4,Medical,Female,Research Scientist,Divorced,196260.0,1.0,21,8.0,0,15.0,5.0,15,0,7,0
33,Travel_Rarely,Research & Development,2.0,1,Life Sciences,Male,Research Scientist,Single,42560.0,1.0,13,8.0,3,5.0,1.0,5,0,2,0
32,Travel_Frequently,Research & Development,9.0,3,Life Sciences,Female,Research Scientist,Single,50831.0,4.0,12,8.0,1,10.0,6.0,8,0,7,0
57,Travel_Rarely,Research & Development,3.0,2,Life Sciences,Male,Research Scientist,Divorced,63060.0,3.0,12,8.0,1,32.0,3.0,1,0,0,0
42,Travel_Rarely,Sales,22.0,2,Life Sciences,Female,Healthcare Representative,Single,22010.0,4.0,12,8.0,1,16.0,2.8093203883495144,1,0,0,0
25,Travel_Rarely,Research & Development,17.0,3,Medical,Male,Laboratory Technician,Single,199260.0,7.0,11,8.0,3,6.0,5.0,4,0,1,0
50,Travel_Frequently,Research & Development,4.0,4,Medical,Male,Research Scientist,Married,61420.0,3.0,13,8.0,2,28.0,3.0,8,0,7,0
36,Travel_Rarely,Sales,15.0,2,Life Sciences,Male,Sales Executive,Married,96790.0,4.0,12,8.0,0,6.0,1.0,2,2,2,0
44,Travel_Rarely,Sales,25.0,5,Medical,Female,Sales Executive,Single,25660.0,9.0,11,8.0,1,10.0,3.0,5,2,3,0
32,Travel_Rarely,Research & Development,2.0,1,Medical,Male,Laboratory Technician,Single,27410.0,7.0,11,8.0,0,7.0,3.0,2,2,2,1
28,Non-Travel,Research & Development,8.0,3,Life Sciences,Male,Sales Executive,Divorced,89660.0,1.0,16,8.0,1,3.0,3.0,3,2,2,0
45,Non-Travel,Research & Development,1.0,3,Medical,Female,Human Resources,Married,125040.0,1.0,12,8.0,1,15.0,2.0,15,4,12,0
33,Travel_Rarely,Research & Development,11.0,3,Life Sciences,Female,Research Director,Married,67280.0,7.0,22,8.0,0,15.0,2.0,7,7,7,1
31,Travel_Frequently,Research & Development,8.0,4,Life Sciences,Male,Laboratory Technician,Married,65000.0,6.0,23,8.0,1,7.0,5.0,2,2,2,1
22,Travel_Rarely,Research & Development,1.0,3,Life Sciences,Female,Healthcare Representative,Divorced,129360.0,1.0,11,8.0,2,4.0,3.0,4,2,2,0
33,Travel_Frequently,Sales,2.0,3,Marketing,Male,Human Resources,Married,21760.0,1.0,14,8.0,1,6.0,2.0,6,1,2,0
44,Travel_Rarely,Sales,25.0,5,Medical,Female,Sales Executive,Single,26428.0,9.0,11,8.0,1,10.0,3.0,5,2,3,0
40,Travel_Rarely,Sales,27.0,4,Marketing,Female,Sales Executive,Married,34820.0,0.0,18,8.0,1,21.0,2.0,20,1,12,0
59,Travel_Rarely,Research & Development,6.0,3,Life Sciences,Male,Research Scientist,Married,56740.0,3.0,12,8.0,0,14.0,6.0,6,0,4,0
41,Travel_Rarely,Research & Development,14.0,4,Life Sciences,Female,Healthcare Representative,Married,109200.0,0.0,15,8.0,1,21.0,3.0,20,0,10,0
39,Travel_Frequently,Research & Development,12.0,1,Medical,Male,Research Scientist,Married,99910.0,1.0,107,8.0,1,8.0,3.0,8,0,93,0
30,Travel_Rarely,Sales,18.0,3,Life Sciences,Male,Human Resources,Married,22960.0,1.0,18,8.0,1,10.0,2.0,10,3,0,0
52,Non-Travel,Research & Development,3.0,3,Technical Degree,Male,Sales Executive,Single,45070.0,1.0,14,8.0,0,33.0,3.0,33,15,12,0
38,Travel_Rarely,Research & Development,2.0,3,Medical,Female,Sales Executive,Married,49395.0,4.0,19,8.0,1,7.0,3.0,5,1,4,1
28,Travel_Rarely,Research & Development,9.0,3,Medical,Male,Sales Representative,Single,46480.0,0.0,23,8.0,2,9.0,2.0,8,0,7,0
32,Travel_Frequently,Sales,3.0,3,Marketing,Male,Laboratory Technician,Divorced,77560.0,0.0,21,8.0,0,9.0,3.0,8,0,7,0
27,Travel_Rarely,Sales,2.0,3,Life Sciences,Female,Manager,Single,39091.0,1.0,15,8.0,0,7.0,2.0,7,0,7,0
37,Travel_Rarely,Research & Development,9.0,1,Life Sciences,Male,Sales Executive,Single,42794.0,4.0,16,8.0,1,12.0,5.0,6,1,2,0
35,Travel_Rarely,Research & Development,13.0,2,Medical,Female,Sales Representative,Married,28090.0,4.0,23,8.0,1,11.302766199317926,2.0,8,0,0,0
30,Non-Travel,Sales,2.0,3,Medical,Female,Sales Executive,Divorced,54700.0,1.0,18,8.0,1,12.0,2.0,12,6,10,0
32,Travel_Rarely,Sales,10.0,3,Marketing,Female,Human Resources,Married,30720.0,5.0,12,8.0,0,9.0,4.0,5,1,3,0
38,Travel_Rarely,Sales,7.0,4,Life Sciences,Female,Research Scientist,Married,107480.0,7.0,15,8.0,0,17.0,3.0,1,0,0,1
40,Travel_Rarely,Research & Development,1.0,4,Medical,Male,Research Director,Married,50710.0,8.0,17,8.0,1,8.0,3.0,1,0,0,0
34,Travel_Frequently,Research & Development,3.0,1,Life Sciences,Male,Manufacturing Director,Married,134990.0,4.0,23,8.0,2,11.0,2.0,7,0,7,1
39,Travel_Rarely,Sales,3.0,4,Marketing,Female,Laboratory Technician,Single,26100.0,7.0,12,8.0,0,9.0,2.0,4,2,2,0
48,Travel_Rarely,Research & Development,12.0,4,Medical,Male,Laboratory Technician,Divorced,55620.0,8.0,13,8.0,1,18.0,2.0,8,7,7,0
53,Travel_Rarely,Research & Development,9.0,3,Life Sciences,Female,Laboratory Technician,Single,48090.0,2.0,18,8.0,0,19.0,2.0,2,2,2,0
39,Travel_Rarely,Research & Development,2.0,3,Other,Female,Laboratory Technician,Married,105994.0,1.0,12,8.0,1,10.0,2.0,10,7,9,0
42,Travel_Frequently,Research & Development,9.0,4,Medical,Male,Manufacturing Director,Divorced,93044.0,1.0,15,8.0,1,24.0,2.0,24,14,9,0
35,Travel_Rarely,Research & Development,10.0,2,Life Sciences,Female,Healthcare Representative,Married,31400.0,1.0,13,8.0,1,17.0,2.0,17,5,15,0
36,Travel_Rarely,Sales,2.0,3,Marketing,Male,Sales Executive,Married,166270.0,3.0,12,8.0,0,10.0,5.0,7,1,7,0
34,Travel_Rarely,Sales,1.0,1,Marketing,Female,Laboratory Technician,Married,24760.0,1.0,19,8.0,0,6.0,2.0,6,1,3,0
45,Travel_Rarely,Human Resources,13.0,3,Human Resources,Male,Laboratory Technician,Single,43060.0,2.0,107,8.0,2,26.0,3.0,24,1,78,1
27,Travel_Frequently,Sales,24.0,3,Life Sciences,Male,Healthcare Representative,Single,32365.0,1.0,20,8.0,1,9.0,2.8093203883495144,9,1,7,0
42,Travel_Frequently,Sales,2.0,4,Life Sciences,Male,Laboratory Technician,Single,22850.0,0.0,16,8.0,0,22.0,3.0,21,13,14,1
37,Travel_Frequently,Sales,3.0,3,Marketing,Male,Laboratory Technician,Divorced,40010.0,6.0,11,8.0,1,17.0,2.8093203883495144,1,0,0,1
33,Travel_Frequently,Research & Development,16.0,4,Medical,Female,Laboratory Technician,Single,24060.0,1.0,11,8.0,0,10.0,3.0,10,9,7,1
39,Travel_Rarely,Research & Development,12.0,5,Medical,Female,Sales Representative,Single,62200.0,1.0,14,8.0,2,20.0,2.0,20,11,10,0
34,Travel_Rarely,Research & Development,9.0,1,Life Sciences,Female,Laboratory Technician,Married,25850.0,3.0,12,8.0,0,9.0,2.8093203883495144,4,0,1,0
45,Travel_Frequently,Research & Development,20.0,3,Medical,Male,Laboratory Technician,Single,36810.0,3.0,17,8.0,1,22.0,2.0,0,0,0,0
31,Travel_Rarely,Research & Development,4.0,2,Medical,Female,Sales Executive,Single,42850.0,1.0,121,8.0,1,1.0,2.8093203883495144,1,1,0,0
36,Travel_Rarely,Research & Development,25.0,3,Other,Female,Research Director,Married,63970.0,4.0,14,8.0,1,11.0,3.0,3,0,2,0
23,Travel_Rarely,Research & Development,2.0,3,Life Sciences,Male,Healthcare Representative,Married,77166.0,2.0,11,8.0,1,5.0,3.0,3,0,2,0
37,Travel_Rarely,Research & Development,8.0,1,Life Sciences,Male,Sales Executive,Single,41930.0,4.0,16,8.0,1,12.0,5.0,6,1,2,0
39,Travel_Rarely,Research & Development,18.0,2,Life Sciences,Male,Laboratory Technician,Single,28360.0,0.0,20,8.0,0,6.0,3.0,5,0,3,1
43,Non-Travel,Human Resources,8.0,5,Medical,Female,Sales Executive,Single,23473.0,4.0,18,8.0,0,7.0,2.0,3,1,2,0
38,Travel_Rarely,Research & Development,10.0,2,Technical Degree,Male,Sales Representative,Single,24009.0,4.0,12,8.0,0,20.0,3.0,1,0,0,0
30,Travel_Rarely,Sales,25.0,3,Marketing,Male,Sales Executive,Single,24672.0,2.0,20,8.0,1,11.0,5.0,5,0,2,0
36,Travel_Frequently,Sales,25.0,3,Marketing,Female,Research Director,Single,55198.0,4.0,21,8.0,2,13.0,3.0,8,7,2,0
25,Travel_Rarely,Sales,6.0,3,Marketing,Female,Research Scientist,Married,27560.0,1.0,12,8.0,2,5.0,2.0,5,0,3,0
53,Travel_Rarely,Research & Development,3.0,4,Technical Degree,Male,Manager,Single,116910.0,4.0,20,8.0,0,35.0,2.0,9,8,8,0
28,Travel_Rarely,Human Resources,2.0,3,Medical,Female,Laboratory Technician,Married,24130.0,1.0,16,8.0,1,11.302766199317926,2.0,1,0,0,1
45,Travel_Rarely,Research & Development,1.0,5,Technical Degree,Male,Healthcare Representative,Divorced,20880.0,4.0,15,8.0,3,18.0,2.0,5,0,2,0
46,Travel_Rarely,Research & Development,9.0,4,Other,Male,Manager,Married,17020.0,5.0,21,8.0,0,25.0,2.0,4,0,3,0
26,Travel_Rarely,Human Resources,10.0,3,Life Sciences,Male,Research Scientist,Single,68110.0,1.0,11,8.0,1,8.0,4.0,8,2,2,0
22,Travel_Frequently,Research & Development,22.0,4,Medical,Male,Sales Representative,Married,26540.0,0.0,24,8.0,0,1.0,5.0,0,0,0,1
37,Travel_Frequently,Research & Development,13.0,4,Life Sciences,Female,Human Resources,Married,35678.0,5.0,11,8.0,0,10.0,1.0,5,0,0,0
31,Travel_Rarely,Research & Development,8.0,1,Technical Degree,Male,Manufacturing Director,Married,29360.0,4.0,12,8.0,1,10.0,2.0,8,7,7,0
34,Travel_Rarely,Sales,26.0,5,Marketing,Female,Research Scientist,Married,41940.0,0.0,17,8.0,2,12.0,3.0,11,5,7,0
31,Travel_Rarely,Research & Development,7.0,3,Medical,Female,Manager,Single,81030.0,1.0,15,8.0,1,11.0,5.0,11,4,10,0
35,Travel_Rarely,Research & Development,23.0,3,Medical,Female,Sales Representative,Married,29660.0,9.0,18,8.0,0,15.0,2.0,11,6,9,0
31,Travel_Rarely,Research & Development,22.0,3,Life Sciences,Male,Laboratory Technician,Married,99800.0,1.0,12,8.0,0,6.0,1.0,6,0,1,0
33,Travel_Rarely,Research & Development,8.0,2,Life Sciences,Female,Research Scientist,Divorced,161840.0,0.0,13,8.0,1,10.0,2.0,9,0,8,0
55,Travel_Rarely,Research & Development,14.0,4,Life Sciences,Female,Sales Executive,Single,55380.0,0.0,17,8.0,0,37.0,2.0,36,4,13,0
55,Travel_Rarely,Human Resources,16.0,3,Technical Degree,Male,Manufacturing Director,Single,43299.0,4.0,11,8.0,0,12.0,3.0,9,7,3,1
48,Travel_Rarely,Research & Development,17.0,3,Technical Degree,Male,Sales Executive,Married,97240.0,3.0,13,8.0,0,12.0,2.0,2,2,2,0
35,Travel_Frequently,Research & Development,13.0,3,Life Sciences,Male,Sales Executive,Single,20420.0,0.0,16,8.0,0,6.0,2.0,5,1,4,0
35,Travel_Rarely,Research & Development,2.0,3,Medical,Male,Research Director,Single,109235.0,3.0,13,8.0,1,17.0,2.0,8,1,6,0
26,Travel_Rarely,Research & Development,10.0,1,Medical,Male,Sales Executive,Married,106860.0,1.0,14,8.0,1,3.0,2.0,3,0,2,0
24,Travel_Rarely,Sales,8.0,3,Medical,Female,Laboratory Technician,Married,12320.0,1.0,12,8.0,0,1.0,2.8093203883495144,1,0,0,0
25,Travel_Rarely,Research & Development,27.0,3,Technical Degree,Male,Laboratory Technician,Married,88530.0,1.0,22,8.0,1,2.0,3.0,2,2,1,0
51,Travel_Frequently,Research & Development,20.0,3,Medical,Male,Sales Executive,Married,148872.0,2.0,11,8.0,1,14.0,2.0,4,3,2,0
35,Travel_Rarely,Research & Development,7.0,3,Life Sciences,Female,Laboratory Technician,Single,31805.0,1.0,13,8.0,1,6.0,3.0,5,1,4,0
29,Travel_Rarely,Sales,5.0,3,Other,Female,Human Resources,Single,35390.0,1.0,18,8.0,0,6.0,2.0,6,1,5,0
42,Travel_Rarely,Sales,3.0,4,Medical,Female,Research Director,Single,45425.0,4.0,17,8.0,1,8.0,5.0,0,0,0,0
35,Travel_Frequently,Research & Development,4.0,3,Medical,Female,Laboratory Technician,Married,23120.0,1.0,11,8.0,1,2.0,2.0,2,2,2,0
32,Travel_Rarely,Sales,16.0,3,Marketing,Male,Research Scientist,Single,101690.0,1.0,14,8.0,0,12.0,6.0,11,5,7,0
38,Travel_Frequently,Sales,9.0,3,Marketing,Male,Manufacturing Director,Married,52040.0,3.0,13,8.0,1,10.0,2.0,6,1,2,0
37,Travel_Rarely,Research & Development,22.0,3,Life Sciences,Female,Healthcare Representative,Married,174440.0,1.0,14,8.0,0,8.0,4.0,8,7,7,0
54,Travel_Frequently,Research & Development,10.0,2,Medical,Male,Sales Representative,Divorced,30351.0,7.0,14,8.0,1,33.0,2.0,5,1,4,0
45,Travel_Rarely,Sales,4.0,3,Life Sciences,Male,Laboratory Technician,Married,35800.0,4.0,20,8.0,1,8.0,1.0,5,0,3,0
34,Travel_Rarely,Research & Development,8.0,2,Life Sciences,Male,Healthcare Representative,Married,21770.0,1.0,13,8.0,0,10.0,5.0,10,8,7,0
46,Non-Travel,Research & Development,10.0,2,Life Sciences,Male,Manufacturing Director,Single,57310.0,8.0,17,8.0,0,6.0,2.0,2,2,2,0
27,Travel_Rarely,Sales,2.0,3,Life Sciences,Male,Sales Executive,Divorced,23670.0,2.707511380880121,12,8.0,1,5.0,2.0,5,0,4,0
30,Travel_Frequently,Research & Development,5.0,5,Technical Degree,Male,Manager,Divorced,58399.0,1.0,17,8.0,0,1.0,3.0,1,0,0,0
45,Travel_Rarely,Human Resources,13.0,3,Human Resources,Male,Laboratory Technician,Single,43060.0,2.0,11,8.0,2,26.0,3.0,24,1,11,1
34,Travel_Rarely,Research & Development,11.0,4,Life Sciences,Female,Sales Representative,Single,192460.0,3.0,15,8.0,1,15.0,5.0,13,3,12,0
30,Travel_Frequently,Research & Development,9.0,3,Other,Male,Healthcare Representative,Married,69130.0,1.0,14,8.0,0,1.0,2.0,1,0,0,1
59,Travel_Rarely,Sales,3.0,2,Marketing,Female,Sales Representative,Married,20660.0,4.0,12,8.0,1,12.0,3.0,1,0,0,0
22,Travel_Rarely,Research & Development,16.0,5,Other,Male,Research Scientist,Married,29910.0,1.0,19,8.0,2,2.0,3.0,2,1,2,0
44,Travel_Rarely,Research & Development,22.0,4,Life Sciences,Female,Laboratory Technician,Married,62720.0,1.0,19,8.0,1,10.0,3.0,10,0,5,1
47,Non-Travel,Research & Development,21.0,2,Medical,Male,Sales Executive,Married,46390.0,0.0,102,8.0,1,14.0,2.0,13,5,12,0
51,Travel_Frequently,Sales,21.0,4,Medical,Male,Research Scientist,Single,182579.0,0.0,17,8.0,0,8.0,3.0,7,7,7,0
32,Travel_Rarely,Research & Development,8.0,1,Medical,Female,Research Scientist,Single,46270.0,8.0,17,8.0,1,8.0,2.0,1,0,0,0
59,Travel_Frequently,Research & Development,10.0,4,Life Sciences,Male,Research Scientist,Single,23393.0,7.0,19,8.0,1,20.0,2.8093203883495144,4,1,3,0
56,Travel_Rarely,Research & Development,16.0,3,Life Sciences,Male,Laboratory Technician,Married,33120.0,9.0,19,8.0,0,7.0,1.0,5,4,3,1
37,Travel_Rarely,Research & Development,3.0,3,Life Sciences,Male,Sales Executive,Single,56470.0,6.0,19,8.0,0,7.0,2.0,0,0,0,1
29,Travel_Rarely,Sales,18.0,4,Medical,Male,Laboratory Technician,Divorced,65820.0,1.0,117,8.0,1,6.0,3.0,6,1,0,0
